75333394Steffie Ciobutaro             1829088534Charleston WV 25328 South                    92902722015-10-02
13919025Melba Stubbley                1992484817Woodland WA 98674 West                       28225652012-09-23
14916911Tabby Conahy                  0567546933Woodside NY 11377 Northeast                  68198592015-08-23
73039477Les Filipson                  1286547825Unalakleet AK 99684 West                     46232642017-10-31
81455329Katherine Lorence             1591566736Miltona MN 56354 Midwest                     32120172015-08-03
87397466Carita Bellam                 1585432648Carmel NY 10512 Northeast                    16390412013-01-15
23026072Tuck Green                    0323848130Nashville TN 37216 South                     76183572012-01-05
29696277Eolande Sille                 1466227501Teec Nos Pos AZ 86514 West                   38037772012-12-02
46464642Abraham Bresland              1348746404Cardale PA 15420 Northeast                   41624862011-08-29
99783797Elisabetta Jeakins            0101596937Rock Point AZ 86545 West                     77688322017-05-24
42616487Arney Paterno                 0544397782Landenberg PA 19350 Northeast                13141232011-02-10
87664930Honor Light                   0373471525Clements CA 95227 West                       37985942012-08-12
77024798Simeon Digweed                0246395504Aylett VA 23009 South                        60867272015-02-16
57194274Tommy Frankcomb               0208898303Parshall CO 80468 West                       66845262009-07-05
57576902Ibby Innott                   1780307713Whitesville KY 42378 South                   23252132009-08-06
21491959Gabey Bentall                 0311939514Freehold NJ 7728 Northeast                   71056262016-06-09
99778022Kalvin Peppin                 0421251419Fraser CO 80442 West                         47248892009-10-24
49111134Rhetta Castagnasso            0495390908Idleyld Park OR 97447 West                   28430542010-05-06
46873814Emelyne Matteris              0504584172Boulder Junction WI 54512 Midwest            84930652014-05-08
93057967Estella Fibben                0133904151Verona IL 60479 Midwest                      79863332016-07-21
37255040Ferdinand De Simone           1438571031Matherville IL 61263 Midwest                 59169092018-11-07
85714366Ruperta Ney                   0952391123Rumely MI 49826 Midwest                      72220262009-03-04
44885910Jannel Bachs                  1644375478Carlton OR 97111 West                        86784362012-04-25
33751431Purcell Mc Corley             0137709375Barnwell SC 29812 South                      53651802011-03-25
52535898Nonna Cobb                    1430429762Knob Lick KY 42154 South                     71507902018-02-26
80255534Martynne Hinkensen            1485692569Jean NV 89019 West                           49024572015-05-13
73613829Alicea Hegarty                1515516619Oneida PA 18242 Northeast                    77484932016-09-02
85361119Mira Kochs                    1910985395Elk Grove Village IL 60009 Midwest           20254092016-11-16
49485473Marina de Marco               0145294573Birmingham AL 35224 South                    46996452015-07-31
76722287Vanny Trappe                  1930363959Muscle Shoals AL 35662 South                 76633042015-02-05
55469527Glenden Jedrzejkiewicz        0363593682Winterset IA 50273 Midwest                   74676792017-08-21
81936258Delmar Larret                 1637624644Houston TX 77275 South                       58630942018-09-13
60441436Corine Semour                 1670886330Smoketown PA 17576 Northeast                 48881902014-11-28
24635219Tuck Green                    1323848130Nashville TN 37216 South                     86475922015-03-10
97416114Vernice Brownjohn             1199568135East Andover NH 3231 Northeast               63545312011-10-05
53446495Gregory Grigoletti            1697268393Brooklyn NY 11209 Northeast                  12913422014-12-06
98930145Cordelia Benettelli           0197904816Peach Orchard AR 72453 South                 26652182015-09-21
72227607Ula Kingsbury                 1179762367Glencoe KY 41046 South                       61562392016-07-10
13094544Nestor Kettow                 0291250183Hugoton KS 67951 Midwest                     74202812018-09-16
22689288Parrnell Downer               0631229305Dyer TN 38330 South                          28060242015-07-15
40334489Tremayne Brunn                0388303403Bozeman MT 59772 West                        97948712012-02-05
25734850Arleyne Toping                1609956325Allendale SC 29810 South                     62238242010-08-04
67706246Chico Jarrett                 1183691383Portland OR 97236 West                       55700542012-07-26
42348379Wayne Jankin                  0130187347Calverton VA 22016 South                     39656652010-10-29
39584832Russell Deamer                0744719160Terry MS 39170 South                         50442532009-07-17
81765817Ibrahim Gormally              0607682491Parksville NY 12768 Northeast                15921712013-03-18
69317935Nathalia McQueen              0569486726Nicholson PA 18446 Northeast                 49017822011-10-21
65947106Mateo Le feaver               0853800531Hudsonville MI 49426 Midwest                 19682502010-05-31
12989449Benedetta Shorthill           1541413187Stinnett KY 40868 South                      72265482010-12-26
12973305Thebault Brugman              0938586701Emporium PA 15834 Northeast                  74849692017-11-23
72874495Maryl Cockroft                0570950541San Francisco CA 94146 West                  11740862018-08-16
87638843Fredrika Dulinty              1134053382Aliceville AL 35442 South                    96402712009-12-29
22473987Justis MacDaid                0664704523Herald IL 62845 Midwest                      23442352018-05-25
45737903Cindi Smorthit                1978836641Marietta TX 75566 South                      99110312017-11-01
29143841Fredrika Dulinty              1134053382Aliceville AL 35442 South                    71441722015-09-14
64230450Thatcher Hegg                 1496793622Shawnee Mission KS 66218 Midwest             35377712009-04-02
39838761Harriette Bills               1288996231Knightstown IN 46148 Midwest                 54788652017-01-06
80014043Jilleen Shingles              0556605206Edwardsville VA 22456 South                  58870712014-10-05
71923200Emmalee Clamp                 0764284963Miami FL 33245 South                         78975192017-01-09
47983583Alfy Paintain                 0860583046Alexandria VA 22306 South                    83710562009-05-08
54726151Quincey Elias                 1579716532Aurora CO 80019 West                         57296322009-06-10
98172247Cly Teaz                      0273918930Lexington KY 40512 South                     90312132009-04-02
60030468Jane Bumpas                   0908450089Imperial NE 69033 Midwest                    42454542017-06-04
84252181Kassie Theobalds              0785197350Modest Town VA 23412 South                   19596052010-09-30
57296491Leonora Reck                  0737774362Chattanooga TN 37408 South                   84580052015-04-06
22430464Ludwig Huggan                 0378772748Brush Valley PA 15720 Northeast              89200172014-08-01
54269200Aldrich Hendren               1404175752Flemington WV 26347 South                    75385052012-02-24
99778022Jilleen Shingles              0556605206Edwardsville VA 22456 South                  80039952009-04-17
90335870Chiarra Peer                  0995876448Southlake TX 76092 South                     82222062009-11-30
26600131Flinn Prahl                   1695721158Corpus Christi TX 78480 South                58143952013-06-16
83423110Tanney Farney                 1107019140New Orleans LA 70190 South                   55567142015-09-09
57296491Laurice Gazzard               1109663353Watervliet MI 49098 Midwest                  41003562009-03-12
82432169Elia Lofts                    0188334686Watts OK 74964 South                         90608602018-04-19
19953869Tanney Farney                 0107019140New Orleans LA 70190 South                   57329432018-03-19
